"Date"	"Side 1"	"Side 1 Duration"	"Start Time 1"	"Side 2"	"Side 2 Duration"	"Start Time 2"	"Total Duration"	"Note"
" 11/6/12 16:33:20 GMT+01:00"	"R"	"00:08"	" 11/6/12 16:33:20 GMT+01:00"	"L"	"00:06"	" 11/14/12 18:49:12 GMT+01:00"	"00:08"	""
" 11/6/12 14:57:01 GMT+01:00"	"L"	"00:09"	" 11/6/12 14:57:01 GMT+01:00"	"L"	"00:06"	" 11/14/12 18:49:12 GMT+01:00"	"00:09"	""
" 11/6/12 14:40:01 GMT+01:00"	"R"	"00:14"	" 11/6/12 14:40:01 GMT+01:00"	"L"	"00:06"	" 11/14/12 18:49:12 GMT+01:00"	"00:14"	""
" 11/6/12 12:01:31 GMT+01:00"	"L"	"00:10"	" 11/6/12 12:01:31 GMT+01:00"	"L"	"00:06"	" 11/14/12 18:49:12 GMT+01:00"	"00:10"	""
" 11/6/12 9:48:38 GMT+01:00"	"R"	"00:03"	" 11/6/12 9:48:38 GMT+01:00"	"L"	"00:06"	" 11/14/12 18:49:12 GMT+01:00"	"00:03"	""
" 11/6/12 8:26:04 GMT+01:00"	"L"	"00:10"	" 11/6/12 8:26:04 GMT+01:00"	"L"	"00:06"	" 11/14/12 18:49:12 GMT+01:00"	"00:10"	""
" 11/6/12 7:49:48 GMT+01:00"	"R"	"00:12"	" 11/6/12 7:49:48 GMT+01:00"	"L"	"00:06"	" 11/14/12 18:49:12 GMT+01:00"	"00:12"	""
" 11/5/12 20:07:39 GMT+01:00"	"L"	"00:10"	" 11/5/12 20:07:39 GMT+01:00"	"L"	"00:06"	" 11/14/12 18:49:12 GMT+01:00"	"00:10"	""
" 11/5/12 19:07:04 GMT+01:00"	"R"	"00:16"	" 11/5/12 19:07:04 GMT+01:00"	"L"	"00:06"	" 11/14/12 18:49:12 GMT+01:00"	"00:16"	""
" 11/5/12 15:31:33 GMT+01:00"	"L"	"00:10"	" 11/5/12 15:31:33 GMT+01:00"	"L"	"00:06"	" 11/14/12 18:49:12 GMT+01:00"	"00:10"	""
